show_id,type,title,date_added,release_year,rating,duration,Duration_type, month_number,month_code
s4254,Movie,Black Mirror: Bandersnatch,2018-12-28,2018,TV-MA,312,min,12,Dec
s2,TV Show,Blood & Water,2021-09-24,2021,TV-MA,2,Seasons,9,Sep
s3,TV Show,Ganglands,2021-09-24,2021,TV-MA,1,Season,9,Sep
s4,TV Show,Jailbirds New Orleans,2021-09-24,2021,TV-MA,1,Season,9,Sep
s5,TV Show,Kota Factory,2021-09-24,2021,TV-MA,2,Seasons,9,Sep
s6,TV Show,Midnight Mass,2021-09-24,2021,TV-MA,1,Season,9,Sep
s718,Movie,Headspace: Unwind Your Mind,2021-06-15,2021,TV-G,273,min,6,Jun
s2492,Movie,The School of Mischief,2020-05-21,1973,TV-14,253,min,5,May
s9,TV Show,The Great British Baking Show,2021-09-24,2021,TV-14,9,Seasons,9,Sep
s2488,Movie,No Longer kids,2020-05-21,1979,TV-14,237,min,5,May
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",2021-09-24,2021,TV-MA,1,Season,9,Sep
s12,TV Show,Bangkok Breaking,2021-09-23,2021,TV-MA,1,Season,9,Sep
s2485,Movie,Lock Your Girls In,2020-05-21,1982,TV-PG,233,min,5,May
s2489,Movie,Raya and Sakina,2020-05-21,1984,TV-14,230,min,5,May
s15,TV Show,Crime Stories: India Detectives,2021-09-22,2021,TV-MA,1,Season,9,Sep
s16,TV Show,Dear White People,2021-09-22,2021,TV-MA,4,Seasons,9,Sep
s167,Movie,Once Upon a Time in America,2021-09-01,1984,R,229,min,9,Sep
s18,TV Show,Falsa identidad,2021-09-22,2020,TV-MA,2,Seasons,9,Sep
s7933,Movie,Sangam,2019-12-31,1964,TV-14,228,min,12,Dec
s20,TV Show,Jaguar,2021-09-22,2021,TV-MA,1,Season,9,Sep
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021-09-22,2021,TV-14,1,Season,9,Sep
s22,TV Show,Resurrection: Ertugrul,2021-09-22,2018,TV-14,5,Seasons,9,Sep
s1020,Movie,Lagaan,2021-04-17,2001,PG,224,min,4,Apr
s4574,Movie,Jodhaa Akbar,2018-10-01,2008,TV-14,214,min,10,Oct
s808,Movie,Seven Souls in the Skull Castle: Season Moon Kagen,2021-06-02,2017,TV-PG,212,min,6,Jun
s26,TV Show,Love on the Spectrum,2021-09-21,2021,TV-14,2,Seasons,9,Sep
s2732,Movie,Kabhi Khushi Kabhie Gham,2020-04-01,2001,TV-14,209,min,4,Apr
s3228,Movie,The Irishman,2019-11-27,2019,R,209,min,11,Nov
s2633,Movie,No Direction Home: Bob Dylan,2020-04-25,2005,TV-MA,208,min,4,Apr
s8328,Movie,The Gospel of Luke,2018-10-19,2015,TV-14,205,min,10,Oct
s807,Movie,Seven Souls in the Skull Castle: Season Moon Jogen,2021-06-02,2017,TV-14,204,min,6,Jun
s32,TV Show,Chicago Party Aunt,2021-09-17,2021,TV-MA,1,Season,9,Sep
s33,TV Show,Sex Education,2021-09-17,2020,TV-MA,3,Seasons,9,Sep
s34,TV Show,Squid Game,2021-09-17,2021,TV-MA,1,Season,9,Sep
s35,TV Show,Tayo and Little Wizards,2021-09-17,2020,TV-Y7,1,Season,9,Sep
s2484,Movie,Fifty Year Old Teenager,2020-05-21,1996,TV-14,204,min,5,May
s2127,Movie,What's Your Raashee?,2020-08-15,2009,TV-PG,203,min,8,Aug
s38,TV Show,Angry Birds,2021-09-16,2018,TV-Y7,1,Season,9,Sep
s8405,Movie,The Lord of the Rings: The Return of the King,2020-01-01,2003,PG-13,201,min,1,Jan
